timestamp,util_gpu_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026/09/19 19:25:24.525, 9 %, 65 MiB, 8151 MiB, 16.86 W, 57
2026/09/19 19:25:34.547, 99 %, 4628 MiB, 8151 MiB, 50.33 W, 62
2026/09/19 19:25:44.570, 98 %, 4628 MiB, 8151 MiB, 49.93 W, 63
2026/09/19 19:25:54.596, 100 %, 4628 MiB, 8151 MiB, 49.72 W, 63
2026/09/19 19:26:04.623, 99 %, 4628 MiB, 8151 MiB, 49.86 W, 63
2026/09/19 19:26:14.650, 100 %, 4628 MiB, 8151 MiB, 49.95 W, 63
2026/09/19 19:26:24.676, 100 %, 4628 MiB, 8151 MiB, 50.02 W, 63
2026/09/19 19:26:34.702, 100 %, 4628 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:26:44.727, 99 %, 4628 MiB, 8151 MiB, 49.82 W, 63
2026/09/19 19:26:54.755, 98 %, 4628 MiB, 8151 MiB, 49.73 W, 63
2026/09/19 19:27:04.779, 98 %, 4628 MiB, 8151 MiB, 50.05 W, 63
2026/09/19 19:27:14.802, 100 %, 4628 MiB, 8151 MiB, 49.99 W, 63
2026/09/19 19:27:24.826, 100 %, 4628 MiB, 8151 MiB, 49.92 W, 63
2026/09/19 19:27:34.849, 100 %, 4628 MiB, 8151 MiB, 49.90 W, 62
2026/09/19 19:27:44.875, 100 %, 4628 MiB, 8151 MiB, 49.97 W, 63
2026/09/19 19:27:54.900, 99 %, 4628 MiB, 8151 MiB, 49.60 W, 63
2026/09/19 19:28:04.922, 100 %, 4628 MiB, 8151 MiB, 51.05 W, 63
2026/09/19 19:28:14.945, 98 %, 4628 MiB, 8151 MiB, 50.03 W, 63
2026/09/19 19:28:24.971, 98 %, 4628 MiB, 8151 MiB, 49.85 W, 63
2026/09/19 19:28:34.995, 98 %, 4628 MiB, 8151 MiB, 49.97 W, 63
2026/09/19 19:28:45.022, 100 %, 4628 MiB, 8151 MiB, 49.82 W, 64
2026/09/19 19:28:55.046, 100 %, 4628 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:29:05.072, 100 %, 4628 MiB, 8151 MiB, 49.91 W, 64
2026/09/19 19:29:15.098, 99 %, 4628 MiB, 8151 MiB, 49.66 W, 64
2026/09/19 19:29:25.126, 99 %, 4628 MiB, 8151 MiB, 49.72 W, 63
2026/09/19 19:29:35.152, 99 %, 4628 MiB, 8151 MiB, 49.98 W, 63
2026/09/19 19:29:45.175, 99 %, 4628 MiB, 8151 MiB, 49.87 W, 63
2026/09/19 19:29:55.200, 98 %, 4628 MiB, 8151 MiB, 49.78 W, 63
2026/09/19 19:30:05.225, 99 %, 4628 MiB, 8151 MiB, 49.77 W, 63
2026/09/19 19:30:15.249, 100 %, 4628 MiB, 8151 MiB, 49.83 W, 63
2026/09/19 19:30:25.275, 100 %, 4628 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:30:35.300, 99 %, 4628 MiB, 8151 MiB, 49.81 W, 64
2026/09/19 19:30:45.326, 99 %, 4628 MiB, 8151 MiB, 49.64 W, 63
2026/09/19 19:30:55.351, 99 %, 4628 MiB, 8151 MiB, 49.89 W, 63
2026/09/19 19:31:05.377, 100 %, 4628 MiB, 8151 MiB, 50.00 W, 64
2026/09/19 19:31:15.400, 100 %, 4628 MiB, 8151 MiB, 50.04 W, 63
2026/09/19 19:31:25.423, 99 %, 4628 MiB, 8151 MiB, 49.72 W, 63
2026/09/19 19:31:35.453, 99 %, 4628 MiB, 8151 MiB, 49.81 W, 63
2026/09/19 19:31:45.480, 99 %, 4628 MiB, 8151 MiB, 49.85 W, 63
2026/09/19 19:31:55.504, 100 %, 4628 MiB, 8151 MiB, 49.98 W, 63
2026/09/19 19:32:05.532, 98 %, 4628 MiB, 8151 MiB, 49.79 W, 63
2026/09/19 19:32:15.556, 98 %, 4628 MiB, 8151 MiB, 49.72 W, 63
2026/09/19 19:32:25.582, 98 %, 4628 MiB, 8151 MiB, 49.72 W, 63
2026/09/19 19:32:35.607, 100 %, 4628 MiB, 8151 MiB, 49.85 W, 63
2026/09/19 19:32:45.631, 98 %, 4628 MiB, 8151 MiB, 49.79 W, 63
2026/09/19 19:32:55.657, 98 %, 4628 MiB, 8151 MiB, 49.72 W, 63
2026/09/19 19:33:05.682, 100 %, 4530 MiB, 8151 MiB, 50.72 W, 62
2026/09/19 19:33:15.705, 98 %, 4530 MiB, 8151 MiB, 50.25 W, 64
2026/09/19 19:33:25.731, 100 %, 4530 MiB, 8151 MiB, 49.83 W, 63
2026/09/19 19:33:35.758, 99 %, 4530 MiB, 8151 MiB, 49.69 W, 64
2026/09/19 19:33:45.782, 98 %, 4530 MiB, 8151 MiB, 49.76 W, 64
2026/09/19 19:33:55.806, 99 %, 4530 MiB, 8151 MiB, 49.66 W, 63
2026/09/19 19:34:05.831, 100 %, 4530 MiB, 8151 MiB, 49.89 W, 63
2026/09/19 19:34:15.855, 99 %, 4530 MiB, 8151 MiB, 49.69 W, 64
2026/09/19 19:34:25.879, 99 %, 4530 MiB, 8151 MiB, 49.91 W, 64
2026/09/19 19:34:35.908, 100 %, 4530 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:34:45.933, 98 %, 4530 MiB, 8151 MiB, 49.85 W, 64
2026/09/19 19:34:55.961, 100 %, 4530 MiB, 8151 MiB, 49.81 W, 64
2026/09/19 19:35:05.984, 99 %, 4530 MiB, 8151 MiB, 49.81 W, 64
2026/09/19 19:35:16.008, 99 %, 4530 MiB, 8151 MiB, 49.83 W, 64
2026/09/19 19:35:26.032, 100 %, 4530 MiB, 8151 MiB, 49.90 W, 63
2026/09/19 19:35:36.059, 98 %, 4530 MiB, 8151 MiB, 49.76 W, 64
2026/09/19 19:35:46.087, 98 %, 4530 MiB, 8151 MiB, 49.65 W, 64
2026/09/19 19:35:56.113, 99 %, 4530 MiB, 8151 MiB, 49.83 W, 64
2026/09/19 19:36:06.139, 100 %, 4530 MiB, 8151 MiB, 49.73 W, 64
2026/09/19 19:36:16.163, 99 %, 4530 MiB, 8151 MiB, 49.90 W, 64
2026/09/19 19:36:26.188, 100 %, 4530 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:36:36.211, 98 %, 4530 MiB, 8151 MiB, 49.80 W, 63
2026/09/19 19:36:46.237, 99 %, 4530 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:36:56.259, 99 %, 4530 MiB, 8151 MiB, 49.73 W, 63
2026/09/19 19:37:06.288, 99 %, 4530 MiB, 8151 MiB, 49.56 W, 63
2026/09/19 19:37:16.314, 98 %, 4530 MiB, 8151 MiB, 49.99 W, 64
2026/09/19 19:37:26.342, 98 %, 4530 MiB, 8151 MiB, 49.84 W, 63
2026/09/19 19:37:36.368, 98 %, 4530 MiB, 8151 MiB, 50.01 W, 63
2026/09/19 19:37:46.395, 100 %, 4530 MiB, 8151 MiB, 49.80 W, 63
2026/09/19 19:37:56.423, 99 %, 4530 MiB, 8151 MiB, 49.88 W, 64
2026/09/19 19:38:06.447, 99 %, 4530 MiB, 8151 MiB, 49.76 W, 63
2026/09/19 19:38:16.472, 100 %, 4530 MiB, 8151 MiB, 49.68 W, 63
2026/09/19 19:38:26.499, 98 %, 4530 MiB, 8151 MiB, 49.74 W, 63
2026/09/19 19:38:36.525, 99 %, 4530 MiB, 8151 MiB, 49.75 W, 63
2026/09/19 19:38:46.550, 98 %, 4530 MiB, 8151 MiB, 49.96 W, 63
2026/09/19 19:38:56.574, 98 %, 4530 MiB, 8151 MiB, 49.68 W, 64
2026/09/19 19:39:06.599, 100 %, 4530 MiB, 8151 MiB, 49.99 W, 64
2026/09/19 19:39:16.627, 100 %, 4530 MiB, 8151 MiB, 49.86 W, 63
2026/09/19 19:39:26.653, 98 %, 4530 MiB, 8151 MiB, 49.76 W, 63
2026/09/19 19:39:36.678, 98 %, 4530 MiB, 8151 MiB, 49.64 W, 63
2026/09/19 19:39:46.704, 100 %, 4530 MiB, 8151 MiB, 49.99 W, 63
2026/09/19 19:39:56.736, 100 %, 4530 MiB, 8151 MiB, 49.98 W, 63
2026/09/19 19:40:06.762, 99 %, 4530 MiB, 8151 MiB, 49.81 W, 63
2026/09/19 19:40:16.788, 99 %, 4530 MiB, 8151 MiB, 49.75 W, 63
2026/09/19 19:40:26.812, 100 %, 4530 MiB, 8151 MiB, 49.87 W, 63
2026/09/19 19:40:36.835, 98 %, 4530 MiB, 8151 MiB, 49.75 W, 63
2026/09/19 19:40:46.861, 10 %, 65 MiB, 8151 MiB, 12.31 W, 58
2026/09/19 19:40:56.884, 44 %, 65 MiB, 8151 MiB, 14.53 W, 56
2026/09/19 19:41:06.907, 8 %, 65 MiB, 8151 MiB, 16.16 W, 55
2026/09/19 19:41:16.930, 10 %, 65 MiB, 8151 MiB, 14.75 W, 55
2026/09/19 19:41:26.953, 9 %, 832 MiB, 8151 MiB, 24.01 W, 57
2026/09/19 19:41:36.975, 54 %, 65 MiB, 8151 MiB, 13.76 W, 56
2026/09/19 19:41:46.998, 11 %, 462 MiB, 8151 MiB, 14.88 W, 55
2026/09/19 19:41:57.020, 10 %, 65 MiB, 8151 MiB, 12.14 W, 54
2026/09/19 19:42:07.044, 10 %, 65 MiB, 8151 MiB, 16.32 W, 54
2026/09/19 19:42:17.067, 8 %, 65 MiB, 8151 MiB, 11.73 W, 54
2026/09/19 19:42:27.088, 9 %, 65 MiB, 8151 MiB, 15.75 W, 54
2026/09/19 19:42:37.111, 50 %, 65 MiB, 8151 MiB, 12.97 W, 53
2026/09/19 19:42:47.138, 10 %, 378 MiB, 8151 MiB, 17.25 W, 54
2026/09/19 19:42:57.162, 10 %, 65 MiB, 8151 MiB, 12.19 W, 53
2026/09/19 19:43:07.186, 59 %, 65 MiB, 8151 MiB, 14.36 W, 55
2026/09/19 19:43:17.210, 8 %, 65 MiB, 8151 MiB, 17.31 W, 55
2026/09/19 19:43:27.233, 53 %, 65 MiB, 8151 MiB, 17.30 W, 55
2026/09/19 19:43:37.257, 10 %, 65 MiB, 8151 MiB, 12.13 W, 54
2026/09/19 19:43:47.279, 46 %, 65 MiB, 8151 MiB, 17.03 W, 56
2026/09/19 19:43:57.302, 9 %, 65 MiB, 8151 MiB, 15.57 W, 57
2026/09/19 19:44:07.328, 49 %, 65 MiB, 8151 MiB, 16.93 W, 57
2026/09/19 19:44:17.350, 8 %, 65 MiB, 8151 MiB, 16.08 W, 57
2026/09/19 19:44:27.374, 9 %, 65 MiB, 8151 MiB, 16.00 W, 58
2026/09/19 19:44:37.398, 55 %, 65 MiB, 8151 MiB, 14.14 W, 58
2026/09/19 19:44:47.420, 46 %, 65 MiB, 8151 MiB, 15.87 W, 58
2026/09/19 19:44:57.444, 10 %, 65 MiB, 8151 MiB, 16.62 W, 58
2026/09/19 19:45:07.467, 10 %, 65 MiB, 8151 MiB, 13.67 W, 57
2026/09/19 19:45:17.489, 10 %, 65 MiB, 8151 MiB, 14.69 W, 56
2026/09/19 19:45:27.511, 53 %, 65 MiB, 8151 MiB, 16.89 W, 56
2026/09/19 19:45:37.533, 54 %, 65 MiB, 8151 MiB, 13.02 W, 54
2026/09/19 19:45:47.554, 49 %, 65 MiB, 8151 MiB, 14.86 W, 54
2026/09/19 19:45:57.577, 10 %, 65 MiB, 8151 MiB, 16.14 W, 54
2026/09/19 19:46:07.600, 14 %, 65 MiB, 8151 MiB, 16.44 W, 55
2026/09/19 19:46:17.625, 13 %, 65 MiB, 8151 MiB, 18.61 W, 56
2026/09/19 19:46:27.648, 16 %, 65 MiB, 8151 MiB, 15.22 W, 57
2026/09/19 19:46:37.676, 13 %, 65 MiB, 8151 MiB, 17.01 W, 57
2026/09/19 19:46:47.699, 50 %, 65 MiB, 8151 MiB, 16.16 W, 58
2026/09/19 19:46:57.728, 16 %, 65 MiB, 8151 MiB, 14.90 W, 57
2026/09/19 19:47:07.754, 54 %, 65 MiB, 8151 MiB, 13.80 W, 58
2026/09/19 19:47:17.782, 51 %, 65 MiB, 8151 MiB, 15.57 W, 58
2026/09/19 19:47:27.806, 15 %, 65 MiB, 8151 MiB, 16.52 W, 58
2026/09/19 19:47:37.837, 13 %, 65 MiB, 8151 MiB, 16.40 W, 58
2026/09/19 19:47:47.866, 46 %, 65 MiB, 8151 MiB, 16.62 W, 58
2026/09/19 19:47:57.899, 11 %, 65 MiB, 8151 MiB, 12.69 W, 58
2026/09/19 19:48:07.942, 14 %, 65 MiB, 8151 MiB, 13.97 W, 58
2026/09/19 19:48:17.973, 16 %, 65 MiB, 8151 MiB, 18.54 W, 58
2026/09/19 19:48:27.997, 10 %, 65 MiB, 8151 MiB, 12.71 W, 56
2026/09/19 19:48:38.020, 11 %, 65 MiB, 8151 MiB, 17.17 W, 55
2026/09/19 19:48:48.044, 10 %, 65 MiB, 8151 MiB, 14.47 W, 54
2026/09/19 19:48:58.067, 11 %, 65 MiB, 8151 MiB, 12.12 W, 53
2026/09/19 19:49:08.089, 9 %, 65 MiB, 8151 MiB, 14.11 W, 53
2026/09/19 19:49:18.113, 60 %, 65 MiB, 8151 MiB, 17.69 W, 54
2026/09/19 19:49:28.136, 10 %, 65 MiB, 8151 MiB, 12.40 W, 54
2026/09/19 19:49:38.159, 14 %, 65 MiB, 8151 MiB, 14.86 W, 54
2026/09/19 19:49:48.185, 10 %, 65 MiB, 8151 MiB, 14.00 W, 54
2026/09/19 19:49:58.208, 15 %, 65 MiB, 8151 MiB, 14.27 W, 56
2026/09/19 19:50:08.234, 10 %, 65 MiB, 8151 MiB, 13.75 W, 56
2026/09/19 19:50:18.257, 10 %, 65 MiB, 8151 MiB, 12.45 W, 57
