step,samples,episodes,epochs,loss,grad_norm,lr,step_s,samples_per_s,gpu_mem_gb
50,400,2,0.03,13.628,272.022,1e-05,0.447,18,3.72
100,800,3,0.07,4.716,118.93,1e-05,0.303,26,3.73
150,1000,5,0.1,3.885,106.677,1e-05,0.304,26,3.73
50,400,2,0.03,13.627,272.013,1e-05,0.381,21,3.72
100,800,3,0.07,4.716,118.926,1e-05,0.301,27,3.73
150,1000,5,0.1,3.884,106.637,1e-05,0.301,27,3.73
200,2000,7,0.13,3.49,94.013,1e-05,0.303,26,3.73
250,2000,8,0.17,3.183,91.414,1e-05,0.304,26,3.73
300,2000,10,0.2,3.039,85.883,1e-05,0.303,26,3.73
350,3000,12,0.23,2.919,81.491,1e-05,0.304,26,3.73
400,3000,13,0.27,2.825,81.155,1e-05,0.304,26,3.73
450,4000,15,0.3,2.611,75.425,1e-05,0.303,26,3.73
500,4000,17,0.34,2.462,76.351,1e-05,0.308,26,3.73
550,4000,18,0.37,2.374,78.041,1e-05,0.307,26,3.73
600,5000,20,0.4,2.287,75.475,1e-05,0.304,26,3.73
650,5000,22,0.44,2.161,72.663,1e-05,0.304,26,3.73
700,6000,23,0.47,2.182,74.459,1e-05,0.304,26,3.73
750,6000,25,0.5,2.076,72.391,1e-05,0.305,26,3.73
800,6000,27,0.54,1.988,68.632,1e-05,0.304,26,3.73
850,7000,28,0.57,1.932,69.031,1e-05,0.304,26,3.73
900,7000,30,0.6,1.882,68.517,1e-05,0.301,27,3.73
950,8000,32,0.64,1.876,69.408,1e-05,0.302,26,3.73
1000,8000,34,0.67,1.819,67.888,1e-05,0.301,27,3.73
1000,8000,35,0.7,1.752,66.28,1e-05,0.305,26,3.73
1000,9000,37,0.74,1.721,66.186,1e-05,0.301,27,3.73
1000,9000,39,0.77,1.681,64.764,1e-05,0.302,27,3.73
1000,10000,40,0.8,1.651,65.313,1e-05,0.301,27,3.73
1000,10000,42,0.84,1.595,61.809,1e-05,0.301,27,3.73
1000,10000,44,0.87,1.58,64.428,1e-05,0.301,27,3.73
1000,11000,45,0.9,1.559,61.092,1e-05,0.301,27,3.73
1000,11000,47,0.94,1.493,60.202,1e-05,0.3,27,3.73
1000,12000,49,0.97,1.461,61.539,1e-05,0.301,27,3.73
2000,12000,50,1.01,1.404,59.71,1e-05,0.31,26,3.72
2000,12000,52,1.04,1.405,58.003,1e-05,0.303,26,3.73
2000,13000,54,1.07,1.366,58.247,1e-05,0.304,26,3.73
2000,13000,55,1.11,1.312,56.933,1e-05,0.301,27,3.73
2000,14000,57,1.14,1.283,55.51,1e-05,0.3,27,3.73
2000,14000,59,1.17,1.261,55.53,1e-05,0.302,27,3.73
2000,14000,60,1.21,1.229,53.779,1e-05,0.301,27,3.73
2000,15000,62,1.24,1.219,55.323,1e-05,0.301,27,3.73
2000,15000,64,1.27,1.166,52.978,1e-05,0.302,27,3.73
2000,16000,65,1.31,1.139,51.435,1e-05,0.301,27,3.73
2000,16000,67,1.34,1.135,51.892,1e-05,0.301,27,3.73
2000,16000,69,1.37,1.097,52.403,1e-05,0.304,26,3.73
2000,17000,70,1.41,1.078,49.86,1e-05,0.301,27,3.73
2000,17000,72,1.44,1.075,51.424,1e-05,0.3,27,3.73
2000,18000,74,1.47,1.047,50.342,1e-05,0.301,27,3.73
2000,18000,75,1.51,1.002,46.895,1e-05,0.302,27,3.73
2000,18000,77,1.54,0.978,47.279,1e-05,0.303,26,3.73
2000,19000,79,1.57,0.966,46.64,1e-05,0.304,26,3.73
2000,19000,80,1.61,0.964,47.437,1e-05,0.303,26,3.73
2000,20000,82,1.64,0.928,47.596,1e-05,0.303,26,3.73
2000,20000,84,1.68,0.896,44.482,1e-05,0.304,26,3.73
3000,20000,85,1.71,0.878,45.827,1e-05,0.307,26,3.73
3000,21000,87,1.74,0.861,44.429,1e-05,0.304,26,3.73
3000,21000,89,1.78,0.85,42.85,1e-05,0.305,26,3.73
3000,22000,90,1.81,0.814,43.469,1e-05,0.304,26,3.73
3000,22000,92,1.84,0.807,42.075,1e-05,0.308,26,3.73
3000,22000,94,1.88,0.793,43.397,1e-05,0.304,26,3.73
3000,23000,95,1.91,0.792,42.037,1e-05,0.304,26,3.73
3000,23000,97,1.94,0.771,42.263,1e-05,0.304,26,3.73
3000,24000,99,1.98,0.733,40.962,1e-05,0.304,26,3.73
3000,24000,101,2.01,0.716,40.271,1e-05,0.3,27,3.69
